id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
76,32.0,JAWA BARAT,CISADEA-CIBARENO,CIGANGSA,APRIL,55.0,MILIMETER,2015
77,32.0,JAWA BARAT,CISADEA-CIBARENO,CIGANGSA,MEI,25.0,MILIMETER,2015
78,32.0,JAWA BARAT,CISADEA-CIBARENO,CIGANGSA,JUNI,30.0,MILIMETER,2015
79,32.0,JAWA BARAT,CISADEA-CIBARENO,CIGANGSA,JULI,0.0,MILIMETER,2015
80,32.0,JAWA BARAT,CISADEA-CIBARENO,CIGANGSA,AGUSTUS,0.0,MILIMETER,2015
81,32.0,JAWA BARAT,CISADEA-CIBARENO,CIGANGSA,SEPTEMBER,0.0,MILIMETER,2015
82,32.0,JAWA BARAT,CISADEA-CIBARENO,CIGANGSA,OKTOBER,0.0,MILIMETER,2015
83,32.0,JAWA BARAT,CISADEA-CIBARENO,CIGANGSA,NOVEMBER,40.0,MILIMETER,2015
84,32.0,JAWA BARAT,CISADEA-CIBARENO,CIGANGSA,DESEMBER,25.0,MILIMETER,2015
85,32.0,JAWA BARAT,CISADEA-CIBARENO,CIJULANG,JANUARI,32.0,MILIMETER,2015
86,32.0,JAWA BARAT,CISADEA-CIBARENO,CIJULANG,FEBRUARI,57.0,MILIMETER,2015
87,32.0,JAWA BARAT,CISADEA-CIBARENO,CIJULANG,MARET,48.0,MILIMETER,2015
88,32.0,JAWA BARAT,CISADEA-CIBARENO,CIJULANG,APRIL,45.0,MILIMETER,2015
89,32.0,JAWA BARAT,CISADEA-CIBARENO,CIJULANG,MEI,30.0,MILIMETER,2015
90,32.0,JAWA BARAT,CISADEA-CIBARENO,CIJULANG,JUNI,6.0,MILIMETER,2015
91,32.0,JAWA BARAT,CISADEA-CIBARENO,CIJULANG,JULI,15.0,MILIMETER,2015
92,32.0,JAWA BARAT,CISADEA-CIBARENO,CIJULANG,AGUSTUS,7.0,MILIMETER,2015
93,32.0,JAWA BARAT,CISADEA-CIBARENO,CIJULANG,SEPTEMBER,0.0,MILIMETER,2015
94,32.0,JAWA BARAT,CISADEA-CIBARENO,CIJULANG,OKTOBER,0.0,MILIMETER,2015
95,32.0,JAWA BARAT,CISADEA-CIBARENO,CIJULANG,NOVEMBER,101.0,MILIMETER,2015
96,32.0,JAWA BARAT,CISADEA-CIBARENO,CIJULANG,DESEMBER,36.0,MILIMETER,2015
97,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKELAT,JANUARI,50.0,MILIMETER,2015
98,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKELAT,FEBRUARI,50.0,MILIMETER,2015
99,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKELAT,MARET,47.0,MILIMETER,2015
100,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKELAT,APRIL,115.0,MILIMETER,2015
101,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKELAT,MEI,52.0,MILIMETER,2015
102,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKELAT,JUNI,15.0,MILIMETER,2015
103,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKELAT,JULI,15.0,MILIMETER,2015
104,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKELAT,AGUSTUS,45.0,MILIMETER,2015
105,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKELAT,SEPTEMBER,0.0,MILIMETER,2015
106,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKELAT,OKTOBER,46.0,MILIMETER,2015
107,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKELAT,NOVEMBER,100.0,MILIMETER,2015
108,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKELAT,DESEMBER,80.0,MILIMETER,2015
109,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKIDANG,JANUARI,18.0,MILIMETER,2015
110,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKIDANG,FEBRUARI,16.0,MILIMETER,2015
111,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKIDANG,MARET,17.0,MILIMETER,2015
112,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKIDANG,APRIL,20.0,MILIMETER,2015
113,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKIDANG,MEI,52.0,MILIMETER,2015
114,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKIDANG,JUNI,0.0,MILIMETER,2015
115,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKIDANG,JULI,13.0,MILIMETER,2015
116,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKIDANG,AGUSTUS,120.0,MILIMETER,2015
117,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKIDANG,SEPTEMBER,0.0,MILIMETER,2015
118,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKIDANG,OKTOBER,95.0,MILIMETER,2015
119,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKIDANG,NOVEMBER,24.0,MILIMETER,2015
120,32.0,JAWA BARAT,CISADEA-CIBARENO,CIKIDANG,DESEMBER,31.0,MILIMETER,2015
121,32.0,JAWA BARAT,CISADEA-CIBARENO,CILETUH,JANUARI,106.0,MILIMETER,2015
122,32.0,JAWA BARAT,CISADEA-CIBARENO,CILETUH,FEBRUARI,100.0,MILIMETER,2015
123,32.0,JAWA BARAT,CISADEA-CIBARENO,CILETUH,MARET,64.0,MILIMETER,2015
124,32.0,JAWA BARAT,CISADEA-CIBARENO,CILETUH,APRIL,118.0,MILIMETER,2015
125,32.0,JAWA BARAT,CISADEA-CIBARENO,CILETUH,MEI,33.0,MILIMETER,2015
126,32.0,JAWA BARAT,CISADEA-CIBARENO,CILETUH,JUNI,59.0,MILIMETER,2015
127,32.0,JAWA BARAT,CISADEA-CIBARENO,CILETUH,JULI,0.0,MILIMETER,2015
128,32.0,JAWA BARAT,CISADEA-CIBARENO,CILETUH,AGUSTUS,0.0,MILIMETER,2015
129,32.0,JAWA BARAT,CISADEA-CIBARENO,CILETUH,SEPTEMBER,0.0,MILIMETER,2015
130,32.0,JAWA BARAT,CISADEA-CIBARENO,CILETUH,OKTOBER,0.0,MILIMETER,2015
131,32.0,JAWA BARAT,CISADEA-CIBARENO,CILETUH,NOVEMBER,35.0,MILIMETER,2015
132,32.0,JAWA BARAT,CISADEA-CIBARENO,CILETUH,DESEMBER,126.0,MILIMETER,2015
133,32.0,JAWA BARAT,CISADEA-CIBARENO,CIMANDIRI,JANUARI,39.0,MILIMETER,2015
134,32.0,JAWA BARAT,CISADEA-CIBARENO,CIMANDIRI,FEBRUARI,55.0,MILIMETER,2015
135,32.0,JAWA BARAT,CISADEA-CIBARENO,CIMANDIRI,MARET,60.0,MILIMETER,2015
136,32.0,JAWA BARAT,CISADEA-CIBARENO,CIMANDIRI,APRIL,74.0,MILIMETER,2015
137,32.0,JAWA BARAT,CISADEA-CIBARENO,CIMANDIRI,MEI,30.0,MILIMETER,2015
138,32.0,JAWA BARAT,CISADEA-CIBARENO,CIMANDIRI,JUNI,37.0,MILIMETER,2015
139,32.0,JAWA BARAT,CISADEA-CIBARENO,CIMANDIRI,JULI,12.0,MILIMETER,2015
140,32.0,JAWA BARAT,CISADEA-CIBARENO,CIMANDIRI,AGUSTUS,5.0,MILIMETER,2015
141,32.0,JAWA BARAT,CISADEA-CIBARENO,CIMANDIRI,SEPTEMBER,0.0,MILIMETER,2015
142,32.0,JAWA BARAT,CISADEA-CIBARENO,CIMANDIRI,OKTOBER,16.0,MILIMETER,2015
143,32.0,JAWA BARAT,CISADEA-CIBARENO,CIMANDIRI,NOVEMBER,47.0,MILIMETER,2015
144,32.0,JAWA BARAT,CISADEA-CIBARENO,CIMANDIRI,DESEMBER,74.0,MILIMETER,2015
145,32.0,JAWA BARAT,CISADEA-CIBARENO,CIRADEN,JANUARI,34.0,MILIMETER,2015
146,32.0,JAWA BARAT,CISADEA-CIBARENO,CIRADEN,FEBRUARI,35.0,MILIMETER,2015
147,32.0,JAWA BARAT,CISADEA-CIBARENO,CIRADEN,MARET,45.0,MILIMETER,2015
148,32.0,JAWA BARAT,CISADEA-CIBARENO,CIRADEN,APRIL,56.0,MILIMETER,2015
149,32.0,JAWA BARAT,CISADEA-CIBARENO,CIRADEN,MEI,45.0,MILIMETER,2015
150,32.0,JAWA BARAT,CISADEA-CIBARENO,CIRADEN,JUNI,35.0,MILIMETER,2015
151,32.0,JAWA BARAT,CISADEA-CIBARENO,CIRADEN,JULI,0.0,MILIMETER,2015
152,32.0,JAWA BARAT,CISADEA-CIBARENO,CIRADEN,AGUSTUS,18.0,MILIMETER,2015
153,32.0,JAWA BARAT,CISADEA-CIBARENO,CIRADEN,SEPTEMBER,0.0,MILIMETER,2015
154,32.0,JAWA BARAT,CISADEA-CIBARENO,CIRADEN,OKTOBER,14.0,MILIMETER,2015
155,32.0,JAWA BARAT,CISADEA-CIBARENO,CIRADEN,NOVEMBER,42.0,MILIMETER,2015
156,32.0,JAWA BARAT,CISADEA-CIBARENO,CIRADEN,DESEMBER,40.0,MILIMETER,2015
157,32.0,JAWA BARAT,CISADEA-CIBARENO,CISALADA,JANUARI,35.0,MILIMETER,2015
158,32.0,JAWA BARAT,CISADEA-CIBARENO,CISALADA,FEBRUARI,29.0,MILIMETER,2015
159,32.0,JAWA BARAT,CISADEA-CIBARENO,CISALADA,MARET,80.0,MILIMETER,2015
160,32.0,JAWA BARAT,CISADEA-CIBARENO,CISALADA,APRIL,63.0,MILIMETER,2015
161,32.0,JAWA BARAT,CISADEA-CIBARENO,CISALADA,MEI,38.0,MILIMETER,2015
162,32.0,JAWA BARAT,CISADEA-CIBARENO,CISALADA,JUNI,60.0,MILIMETER,2015
163,32.0,JAWA BARAT,CISADEA-CIBARENO,CISALADA,JULI,10.0,MILIMETER,2015
164,32.0,JAWA BARAT,CISADEA-CIBARENO,CISALADA,AGUSTUS,18.0,MILIMETER,2015
165,32.0,JAWA BARAT,CISADEA-CIBARENO,CISALADA,SEPTEMBER,1.0,MILIMETER,2015
166,32.0,JAWA BARAT,CISADEA-CIBARENO,CISALADA,OKTOBER,35.0,MILIMETER,2015
167,32.0,JAWA BARAT,CISADEA-CIBARENO,CISALADA,NOVEMBER,40.0,MILIMETER,2015
168,32.0,JAWA BARAT,CISADEA-CIBARENO,CISALADA,DESEMBER,55.0,MILIMETER,2015
169,32.0,JAWA BARAT,CISADEA-CIBARENO,CISEKARWANGI,JANUARI,34.0,MILIMETER,2015
170,32.0,JAWA BARAT,CISADEA-CIBARENO,CISEKARWANGI,FEBRUARI,60.0,MILIMETER,2015
171,32.0,JAWA BARAT,CISADEA-CIBARENO,CISEKARWANGI,MARET,69.0,MILIMETER,2015
